Location,Per Capita Private Health Insurance Spending
United States,"$4,551 "
Alabama,"$3,641 "
Alaska,"$5,958 "
Arizona,"$4,035 "
Arkansas,"$3,906 "
California,"$4,735 "
Colorado,"$4,623 "
Connecticut,"$5,187 "
Delaware,"$4,806 "
District of Columbia,"$8,831 "
Florida,"$4,606 "
Georgia,"$4,406 "
Hawaii,"$4,222 "
Idaho,"$3,560 "
Illinois,"$4,875 "
Indiana,"$4,078 "
Iowa,"$4,076 "
Kansas,"$4,855 "
Kentucky,"$4,551 "
Louisiana,"$4,420 "
Maine,"$5,015 "
Maryland,"$4,343 "
Massachusetts,"$5,302 "
Michigan,"$3,950 "
Minnesota,"$4,603 "
Mississippi,"$4,045 "
Missouri,"$4,354 "
Montana,"$3,882 "
Nebraska,"$4,536 "
Nevada,"$3,417 "
New Hampshire,"$4,880 "
New Jersey,"$5,081 "
New Mexico,"$4,155 "
New York,"$5,338 "
North Carolina,"$3,859 "
North Dakota,"$4,410 "
Ohio,"$4,371 "
Oklahoma,"$3,878 "
Oregon,"$4,232 "
Pennsylvania,"$4,634 "
Rhode Island,"$4,620 "
South Carolina,"$4,235 "
South Dakota,"$4,335 "
Tennessee,"$4,680 "
Texas,"$4,696 "
Utah,"$3,657 "
Vermont,"$5,313 "
Virginia,"$4,218 "
Washington,"$4,328 "
West Virginia,"$3,917 "
Wisconsin,"$5,159 "
Wyoming,"$4,957 "
